subject	term	payoff	d_nu	lo	hi	p_pos
25	perceptual	28.0	-0.11275804674053777	-0.6995465066654707	0.43572981079087353	0.3398
26	perceptual	28.0	0.014994042444492067	-0.43131228075203043	0.44572049341889924	0.53405
29	perceptual	28.0	-0.08026398781686303	-0.668128155777072	0.4500046443079098	0.38965
30	perceptual	28.0	0.04232772521688936	-0.5527273589456179	0.6357621965271938	0.55505
31	perceptual	28.0	-0.12244757416474426	-0.7548041299281112	0.4146791459628725	0.34365
34	perceptual	28.0	-0.034216840088450565	-0.5579845883026519	0.45718967140023586	0.45205
35	perceptual	28.0	0.4006163042134697	-0.17409594262716158	1.0873606718616209	0.9112
36	perceptual	28.0	-0.21501252031529525	-0.9030298974959955	0.32253273764350193	0.2411
37	perceptual	28.0	-0.038350959831702815	-0.595512734716776	0.4840986807615972	0.4564
45	perceptual	28.0	0.3436008838217991	-0.13085913874453678	0.9393600884809192	0.9179
46	perceptual	28.0	-0.01985286503358434	-0.6495378346404955	0.5670267990935497	0.47955
47	perceptual	28.0	-0.22716106258672963	-0.907187451689114	0.3014789457706113	0.2219
50	perceptual	28.0	0.38072854234256404	-0.12741853769535008	1.0415202382308013	0.91395
53	perceptual	28.0	0.34179855747146287	-0.16350935328341804	0.9998654314965412	0.89055
56	perceptual	28.0	0.4352476155069474	-0.173463786357465	1.2059577565836321	0.9139
59	perceptual	28.0	0.15707873704680297	-0.3827704908769382	0.741803023309354	0.7087
62	perceptual	28.0	0.09823619296770048	-0.496159008602433	0.7284691002539374	0.6344
63	perceptual	28.0	0.10469605037318389	-0.42940160488793955	0.6812503082391199	0.64915
67	perceptual	28.0	-0.1007835262613687	-0.7668868828369179	0.5133839552127152	0.37205
69	perceptual	28.0	0.05021076412014774	-0.4947540377154311	0.554706652904417	0.5928
72	perceptual	28.0	0.1949769091284199	-0.3349577274342575	0.7954037457719652	0.7459
74	perceptual	28.0	-0.41557427928613416	-1.3097445649673463	0.22703098608041422	0.1312
