stimulation_condition	risky_first	bin	median	lo	hi	model	agg	ratio
vertex	True	5	0.6981862510441971	0.6484173282711513	0.7488382708427291	power2_flat_full	by_stim	3.586722993546796
	False	0	0.2847139465631734	0.2443463280705549	0.33703576706798355	power2_flat_full	pooled	1.2894442090905116
	False	1	0.42618976957746035	0.38812876012086	0.48165973805719725	power2_flat_full	pooled	1.6506585414473256
	False	2	0.5679043662692463	0.5343587135003927	0.6032867494824017	power2_flat_full	pooled	1.9642084587509023
	False	3	0.6920139726323455	0.6554685908697153	0.7254925910593039	power2_flat_full	pooled	2.32629424098063
	False	4	0.7782771033314511	0.7409221877156659	0.8045492973210365	power2_flat_full	pooled	2.8132953338672264
	False	5	0.7713900051853773	0.7235961311324287	0.8029928268948233	power2_flat_full	pooled	3.586722993546796
	True	0	0.2676203598042358	0.22959476648091726	0.31867580401311446	power2_flat_full	pooled	1.2894442090905116
	True	1	0.42668295604641937	0.391388007910411	0.4723408459732852	power2_flat_full	pooled	1.6506585414473256
	True	2	0.559519641025352	0.5206028486383375	0.5915413377271265	power2_flat_full	pooled	1.9642084587509023
	True	3	0.6630335614206582	0.6337273620702342	0.7009285286340438	power2_flat_full	pooled	2.32629424098063
	True	4	0.7315489463022358	0.6923143231037968	0.7686099207809735	power2_flat_full	pooled	2.8132953338672264
	True	5	0.7044814734004246	0.6605787153535969	0.7383094664524291	power2_flat_full	pooled	3.586722993546796
