term	stimulation	payoff	nu	lo	hi	sim_lo	sim_hi
memory	ips	13.176470588235293	1.461396466243296	1.3180729884276363	1.6257203229270483		
memory	ips	13.352941176470589	1.4672377810866268	1.3241201870209411	1.6319723172016798		
memory	ips	13.529411764705884	1.4726544167713898	1.328863917558291	1.6379577003789407		
memory	ips	13.705882352941178	1.4776632953667719	1.3333090243351218	1.6437771411145974		
memory	ips	13.882352941176471	1.4822816351292074	1.3371853448440458	1.6482452407858048		
memory	ips	14.058823529411764	1.4865269225987143	1.3411449463255891	1.6523375433745067		
memory	ips	14.235294117647058	1.4904168865453227	1.3448297723306057	1.656439733995477		
memory	ips	14.411764705882353	1.493969473666915	1.348724913054747	1.6598696349700592		
memory	ips	14.588235294117649	1.4972028259490353	1.3517993686333032	1.6630224591684062		
memory	ips	14.764705882352942	1.5001352596052349	1.3548971665715688	1.6657223313004994		
memory	ips	14.941176470588236	1.5027852455249635	1.3576214271399254	1.6679458261871047		
memory	ips	15.11764705882353	1.505171391163549	1.359976725096337	1.669989816568033		
memory	ips	15.294117647058824	1.5073124238165683	1.3625272687912593	1.6720689813950718		
memory	ips	15.470588235294118	1.5092271752274338	1.3647892511924964	1.673455670576631		
memory	ips	15.647058823529413	1.5109345674836847	1.3663427297839472	1.6741927741276361		
memory	ips	15.823529411764707	1.5124536001638083	1.3683989844789337	1.675295039262615		
memory	ips	16.0	1.5138033387014447	1.3701156360357625	1.676194098006783		
memory	ips	16.176470588235297	1.5150029039395756	1.3720821179106608	1.6764516405886625		
memory	ips	16.352941176470587	1.5160714628515264	1.3737660642694365	1.6763114124341985		
memory	ips	16.529411764705884	1.5170282204100303	1.3753823202558	1.6758263261991895		
memory	ips	16.705882352941178	1.5178924125891302	1.3767230727448354	1.6763845835000526		
memory	ips	16.88235294117647	1.5186833004872997	1.3780365642047812	1.6759339774508135		
memory	ips	17.058823529411764	1.519420165562462	1.3792805568348903	1.676182160722257		
memory	ips	17.235294117647058	1.5201223059721203	1.3802675463165863	1.6764902045213708		
memory	ips	17.411764705882355	1.520809034013768	1.381271468284389	1.6761026917143742		
memory	ips	17.58823529411765	1.5214992705527228	1.382448203841462	1.6761928207880308		
memory	ips	17.764705882352942	1.5222026524865897	1.383541696951236	1.6766436289571849		
memory	ips	17.941176470588236	1.5229195255357983	1.3842772424698804	1.6773352046130832		
memory	ips	18.11764705882353	1.523649831557691	1.3853873787707307	1.6766321775729507		
memory	ips	18.294117647058826	1.5243935125891916	1.3863505779947942	1.677280149830386		
memory	ips	18.470588235294116	1.525150510843907	1.3871872069233717	1.6771211287729952		
memory	ips	18.647058823529413	1.5259207687090859	1.3884430935310814	1.6775416842933755		
memory	ips	18.823529411764707	1.526704228742754	1.3892736928406118	1.6773932487059267		
memory	ips	19.0	1.5275008336706588	1.3900883460314448	1.6779320692338051		
memory	ips	19.176470588235297	1.5283105263833967	1.3912616308998518	1.6781539527713705		
memory	ips	19.352941176470587	1.5291332499334158	1.3928304236131903	1.6785719810862538		
memory	ips	19.529411764705884	1.5299689475320142	1.393660373349396	1.6788027984540073		
memory	ips	19.705882352941178	1.5308175625464877	1.3949210020116263	1.6793225778309107		
memory	ips	19.88235294117647	1.5316790384970635	1.395949192259792	1.6799714874069422		
memory	ips	20.058823529411768	1.532553319054037	1.3966994036329474	1.6804851546278627		
memory	ips	20.235294117647058	1.5334403480347225	1.3975680486267201	1.6808247625430521		
memory	ips	20.411764705882355	1.5343400694006089	1.3984047918001234	1.6815753799010265		
memory	ips	20.58823529411765	1.535252427254341	1.3991876177343041	1.6821003784286075		
memory	ips	20.764705882352942	1.5361773658367992	1.4001581532597642	1.6828188309546335		
memory	ips	20.941176470588236	1.5371148295241592	1.4009839796261725	1.683776818352463		
memory	ips	21.11764705882353	1.5380647628249828	1.402150632864868	1.6850204697674274		
memory	ips	21.294117647058826	1.5390271103772326	1.402829586785994	1.6861018273448003		
memory	ips	21.470588235294116	1.5400018169453964	1.40372886632335	1.6872857371283363		
memory	ips	21.647058823529413	1.5409888274175736	1.404845029360456	1.688247454407696		
memory	ips	21.823529411764707	1.541988086802496	1.4059259072257488	1.6893649227668446		
memory	ips	22.0	1.5429995402267247	1.4070134847177274	1.6904890553708256		
memory	ips	22.176470588235297	1.5440231329316514	1.4079948414701402	1.691538551371901		
memory	ips	22.352941176470587	1.5450588102707057	1.4090558166760412	1.6926363552051789		
memory	ips	22.529411764705884	1.546106517706343	1.4099953360327135	1.6936464412273582		
memory	ips	22.705882352941178	1.547166200807326	1.4108649431893077	1.6944829950109466		
memory	ips	22.88235294117647	1.548237805245727	1.4120458445673372	1.6957808667590824		
memory	ips	23.058823529411764	1.5493212767941364	1.4127361709310262	1.6966973395037885		
memory	ips	23.23529411764706	1.550416561322758	1.413580583373042	1.6980422859080528		
memory	ips	23.411764705882355	1.5515236047966803	1.41439601477875	1.6991778208514197		
memory	ips	23.58823529411765	1.5526423532729134	1.4153940722693354	1.7007705258487904		
memory	ips	23.764705882352942	1.5537727528976302	1.4163628777187989	1.702120578988666		
memory	ips	23.941176470588236	1.5549147499033977	1.4176849843569463	1.7031002738991832		
memory	ips	24.11764705882353	1.5560682906062941	1.4184583178686105	1.704409157005041		
memory	ips	24.294117647058826	1.5572333214031882	1.419359687834836	1.705739475392223		
memory	ips	24.47058823529412	1.5584097887689392	1.4204974696594144	1.7066812041211774		
memory	ips	24.647058823529413	1.5595976392535957	1.4211903216294597	1.7081867966432507		
memory	ips	24.823529411764707	1.5607968194797186	1.42199368427887	1.7097137783885752		
memory	ips	25.0	1.562007276139595	1.423418193236658	1.7110262971643342		
memory	ips	25.176470588235297	1.563228955992538	1.424176365144194	1.7128362024805888		
memory	ips	25.35294117647059	1.564461805862102	1.4250396633256945	1.7146068225966813		
memory	ips	25.529411764705884	1.5657057726334778	1.4259316663113037	1.7161282783149372		
memory	ips	25.705882352941178	1.5669608032507478	1.426740644985655	1.717943102757687		
memory	ips	25.88235294117647	1.56822684471423	1.4276364196747697	1.719833937960888		
memory	ips	26.058823529411764	1.5695038440778186	1.4286276256638657	1.721415976344567		
memory	ips	26.23529411764706	1.5707917484463187	1.4294923694953048	1.7224309759269667		
memory	ips	26.411764705882355	1.5720905049728677	1.430729352751075	1.724052449082235		
memory	ips	26.58823529411765	1.5734000608562473	1.431743427619186	1.7255139111723998		
memory	ips	26.764705882352942	1.5747203633383782	1.4324586486993554	1.727698045245415		
memory	ips	26.941176470588236	1.5760513597016288	1.4332169797887615	1.7292568330897256		
memory	ips	27.11764705882353	1.5773929972663072	1.4343064741104907	1.730944934431324		
memory	ips	27.294117647058826	1.5787452233881416	1.435231202736012	1.7329509997563517		
memory	ips	27.47058823529412	1.5801079854556492	1.4359047191736236	1.7347325340202822		
memory	ips	27.647058823529413	1.581481230887731	1.4369298728457254	1.736788252453376		
memory	ips	27.823529411764707	1.5828649071310013	1.4380514270845814	1.7381830607487123		
memory	ips	28.0	1.584258961657539	1.4390138753197435	1.7401520412195675		
