order	stake_grp	rung	label	where	variant	over_subjects	quantity	value	n_safe
Risky second	0.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.0602211390842027	
Risky second	0.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.0579523255496424	
Risky second	0.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.0550831987641482	
Risky second	0.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.0525827932825136	
Risky second	0.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.0507783901367773	
Risky second	0.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.0424458844867133	
Risky second	1.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.0560497975739649	
Risky second	1.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.0530754837803844	
Risky second	1.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.0492879609009476	
Risky second	1.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.0461550467201346	
Risky second	1.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.042527963250596	
