label	subject	order	stake2	stimulation_condition	parameter	median	lo	hi
log-power-n1n2	47	Risky first	0	vertex	rnp	0.7558926015397989	0.5745397562418815	0.8965904876117573
log-power-n1n2	50	Risky first	0	vertex	rnp	1.1390335838963535	0.8633235317069824	1.3036805623111973
log-power-n1n2	53	Risky first	0	vertex	rnp	1.1207859118652472	0.9030539862734734	1.3359809455640534
log-power-n1n2	56	Risky first	0	vertex	rnp	0.9133668641432141	0.6867676125835305	1.045683187281462
log-power-n1n2	59	Risky first	0	vertex	rnp	1.4426366392180385	1.2831898914480429	1.7417506052753462
log-power-n1n2	62	Risky first	0	vertex	rnp	0.8188024539999222	0.6485792798247549	0.9056148822935395
log-power-n1n2	63	Risky first	0	vertex	rnp	0.9744239659097944	0.8575873338557957	1.0610687736288003
log-power-n1n2	67	Risky first	0	vertex	rnp	1.0803313493796232	0.7204276438847085	1.3466402175500782
log-power-n1n2	69	Risky first	0	vertex	rnp	0.6098897991068446	0.31336146939604304	0.77583681500522
log-power-n1n2	72	Risky first	0	vertex	rnp	1.0022896562779113	0.9529279539786069	1.0809709330155794
log-power-n1n2	74	Risky first	0	vertex	rnp	1.6575529058197696	1.2411825233354852	2.6581256048922315
log-power-n1n2	1	Risky first	0	vertex	logfrac_star	0.7471802614699428	0.6305530095052099	0.8851159937982361
log-power-n1n2	2	Risky first	0	vertex	logfrac_star	0.5792023193174572	0.2949001346065418	0.7767696930429064
log-power-n1n2	3	Risky first	0	vertex	logfrac_star	0.5390857503851965	0.4305563555470633	0.6022581529319664
log-power-n1n2	4	Risky first	0	vertex	logfrac_star	0.808627741451476	0.6473087561175515	1.0442896694597597
log-power-n1n2	5	Risky first	0	vertex	logfrac_star	0.12801125498363863	-0.7166651815333945	0.472285683315539
log-power-n1n2	6	Risky first	0	vertex	logfrac_star	0.9490537708500149	0.769267776375054	1.2411572217595521
log-power-n1n2	7	Risky first	0	vertex	logfrac_star	0.41167908349531923	0.1953412946879432	0.5440335411319802
log-power-n1n2	9	Risky first	0	vertex	logfrac_star	1.175762029370068	0.9895037159992426	1.5133435112036182
log-power-n1n2	10	Risky first	0	vertex	logfrac_star	-0.04704782655750522	-2.114515032606053	0.3328687604614151
log-power-n1n2	11	Risky first	0	vertex	logfrac_star	0.3509490485241191	0.16874332600099146	0.46787915227044224
log-power-n1n2	18	Risky first	0	vertex	logfrac_star	0.3882598818491576	0.2946006191219434	0.46749760244040134
log-power-n1n2	19	Risky first	0	vertex	logfrac_star	0.8520116418179048	0.18525687435453927	1.115313641961429
log-power-n1n2	21	Risky first	0	vertex	logfrac_star	0.6450882514986354	0.464428327653752	0.8970368197609595
log-power-n1n2	25	Risky first	0	vertex	logfrac_star	0.4443509155981208	0.3507325767396665	0.5157054437603308
log-power-n1n2	26	Risky first	0	vertex	logfrac_star	0.46957411606827065	0.3709435213190046	0.5532109544617944
log-power-n1n2	29	Risky first	0	vertex	logfrac_star	0.9476874801898362	0.7444931791580128	1.2619908332310197
log-power-n1n2	30	Risky first	0	vertex	logfrac_star	0.6441851571672323	0.400745969392143	0.8299279648252729
log-power-n1n2	31	Risky first	0	vertex	logfrac_star	0.5307571325314553	0.2813661019224611	0.6534155846905059
log-power-n1n2	34	Risky first	0	vertex	logfrac_star	0.7535923837404488	0.583468237244762	0.9044098323424615
log-power-n1n2	35	Risky first	0	vertex	logfrac_star	1.3106601890194467	1.176462973476254	1.4829316271121982
log-power-n1n2	36	Risky first	0	vertex	logfrac_star	0.5998307804438547	0.4483265571043602	0.7064119817582003
log-power-n1n2	37	Risky first	0	vertex	logfrac_star	0.5473417250173801	0.42667094945367207	0.666761963818653
log-power-n1n2	45	Risky first	0	vertex	logfrac_star	0.8805701376591096	0.743743586829689	0.9996808290948058
log-power-n1n2	46	Risky first	0	vertex	logfrac_star	0.7389756829733305	0.602580268536821	0.871949199070264
log-power-n1n2	47	Risky first	0	vertex	logfrac_star	0.317981026405463	0.04365101546359817	0.48868094403688084
log-power-n1n2	50	Risky first	0	vertex	logfrac_star	0.7280171702073914	0.4508712336709419	0.8630284666896647
log-power-n1n2	53	Risky first	0	vertex	logfrac_star	0.7118671469934372	0.4958640588529592	0.8875028131958624
log-power-n1n2	56	Risky first	0	vertex	logfrac_star	0.5072193443773816	0.22207769262530164	0.6425074402292699
log-power-n1n2	59	Risky first	0	vertex	logfrac_star	0.9643094395554205	0.8471860805635616	1.1527277031229008
log-power-n1n2	62	Risky first	0	vertex	logfrac_star	0.3979245726044237	0.16486596913243326	0.49869586214857636
log-power-n1n2	63	Risky first	0	vertex	logfrac_star	0.5719282139770852	0.4442047426834853	0.6571136777715412
log-power-n1n2	67	Risky first	0	vertex	logfrac_star	0.6751047998152322	0.2699266990192534	0.8954497634343539
log-power-n1n2	69	Risky first	0	vertex	logfrac_star	0.10336000541613605	-0.5625609339495915	0.34402392957553757
log-power-n1n2	72	Risky first	0	vertex	logfrac_star	0.6001240397635246	0.5496210233787484	0.6756966497263258
log-power-n1n2	74	Risky first	0	vertex	logfrac_star	1.1031793617938133	0.8139015733446244	1.5754582147650775
log-power-n1n2	1	Risky first	1	ips	slope	3.3154422542468547	2.4627258488828394	4.402578404081574
log-power-n1n2	2	Risky first	1	ips	slope	1.8905954627013766	1.3452304391147378	2.567257281884914
log-power-n1n2	3	Risky first	1	ips	slope	3.775641891341434	2.8015347522260083	5.215399017724437
log-power-n1n2	4	Risky first	1	ips	slope	1.7745956348129157	0.985340771886471	2.5462509866647425
log-power-n1n2	5	Risky first	1	ips	slope	2.528781672939445	1.5378761984549867	3.6112036274575505
log-power-n1n2	6	Risky first	1	ips	slope	2.0615520192084213	1.3651100015059978	2.73363768003607
log-power-n1n2	7	Risky first	1	ips	slope	1.8658606630141277	1.1259261009287465	2.5847876349604513
log-power-n1n2	9	Risky first	1	ips	slope	1.9306806851190221	1.0408541530761026	2.8749581558965396
log-power-n1n2	10	Risky first	1	ips	slope	2.2344698348424776	1.3325716035605963	3.2166107605657213
log-power-n1n2	11	Risky first	1	ips	slope	3.104909677145753	2.294629846741682	4.026966043311307
log-power-n1n2	18	Risky first	1	ips	slope	3.208486425495405	2.2032313138339643	4.299715975254562
log-power-n1n2	19	Risky first	1	ips	slope	1.3223945949224598	0.6099961222711374	2.1463770300136953
log-power-n1n2	21	Risky first	1	ips	slope	1.6337790681513165	1.1229001857567977	2.2078080279697128
log-power-n1n2	25	Risky first	1	ips	slope	3.7090188468630103	2.7790923513610357	4.94042859384784
log-power-n1n2	26	Risky first	1	ips	slope	3.1038852751788104	2.344216530356383	4.025380499829894
log-power-n1n2	29	Risky first	1	ips	slope	2.15337245183199	1.4190234526987722	2.9025361550753557
log-power-n1n2	30	Risky first	1	ips	slope	2.424927414887001	1.620143442227393	3.334703445291195
log-power-n1n2	31	Risky first	1	ips	slope	3.0833175193233355	2.0989538490475588	4.277655920103166
log-power-n1n2	34	Risky first	1	ips	slope	1.978871952947644	1.2373830969333486	2.7355183402895746
log-power-n1n2	35	Risky first	1	ips	slope	3.006386936400369	2.282808419310538	3.9366381481720722
log-power-n1n2	36	Risky first	1	ips	slope	2.9333975001084225	2.1075476072253445	3.7996473773072212
log-power-n1n2	37	Risky first	1	ips	slope	2.6788554668226463	1.8420048172366248	3.6053598110309553
log-power-n1n2	45	Risky first	1	ips	slope	2.4569478151197313	1.5946033897428378	3.538804528942498
log-power-n1n2	46	Risky first	1	ips	slope	2.561149903820004	1.8887692278439032	3.300083842344968
log-power-n1n2	47	Risky first	1	ips	slope	2.9755274513460046	2.2564690483189693	3.8946422586936027
log-power-n1n2	50	Risky first	1	ips	slope	1.626901046079182	0.7135529941601116	2.689957722936223
log-power-n1n2	53	Risky first	1	ips	slope	2.0217847299458693	1.2902666868907604	2.7414813302158385
log-power-n1n2	56	Risky first	1	ips	slope	2.4788885443178583	1.6620398528171014	3.4075692458439004
log-power-n1n2	59	Risky first	1	ips	slope	2.1247806720849285	1.3771623960324353	2.888582872093128
log-power-n1n2	62	Risky first	1	ips	slope	2.6825721498448876	1.8148300664804686	3.937147188261048
log-power-n1n2	63	Risky first	1	ips	slope	2.3989999204069203	1.5208842630954562	3.2706823651020565
log-power-n1n2	67	Risky first	1	ips	slope	2.909917996851039	2.107000735035146	3.8114797565380734
log-power-n1n2	69	Risky first	1	ips	slope	2.065942924619029	1.1184198557574059	2.975140522267823
log-power-n1n2	72	Risky first	1	ips	slope	3.091551817926577	2.2281137310431522	4.147533357090093
log-power-n1n2	74	Risky first	1	ips	slope	2.1323567900911153	1.4788542602152304	2.811124116095307
log-power-n1n2	1	Risky first	1	ips	rnp	1.2357926029425417	1.115004635649912	1.4027134221859439
log-power-n1n2	2	Risky first	1	ips	rnp	1.1324786317756326	0.9539732864881517	1.3716398115427804
log-power-n1n2	3	Risky first	1	ips	rnp	1.0079160033936172	0.937591118592974	1.0916110445867722
log-power-n1n2	4	Risky first	1	ips	rnp	2.0867572581068536	1.5637999371761635	3.7799832827046322
log-power-n1n2	5	Risky first	1	ips	rnp	0.9903920342043886	0.8228386404079592	1.124881228101938
log-power-n1n2	6	Risky first	1	ips	rnp	2.2584114846371603	1.7410391939291892	3.4677505876889847
log-power-n1n2	7	Risky first	1	ips	rnp	0.7703524981263534	0.5845587003947448	0.9249773483349589
log-power-n1n2	9	Risky first	1	ips	rnp	4.245457881839603	2.6584523791549945	13.705388884894756
log-power-n1n2	10	Risky first	1	ips	rnp	0.9202777356112302	0.7811905155926516	1.0488055373995477
log-power-n1n2	11	Risky first	1	ips	rnp	0.8779737660695159	0.7940081427977908	0.9575458351833926
log-power-n1n2	18	Risky first	1	ips	rnp	0.6597203491881236	0.5459761215046138	0.752616945115747
log-power-n1n2	19	Risky first	1	ips	rnp	3.886758319148254	2.454921164239294	13.821159940596253
log-power-n1n2	21	Risky first	1	ips	rnp	1.4997193767707873	1.1747249608852757	2.0883301230905884
log-power-n1n2	25	Risky first	1	ips	rnp	0.7651882679303428	0.6773861849213311	0.8504526942641423
log-power-n1n2	26	Risky first	1	ips	rnp	0.8182137262873839	0.714700729131046	0.9342546142807918
log-power-n1n2	29	Risky first	1	ips	rnp	1.7834459950509616	1.4532321778509942	2.396264401865792
log-power-n1n2	30	Risky first	1	ips	rnp	0.9033063206036908	0.6914471526583282	1.0951595990097214
log-power-n1n2	31	Risky first	1	ips	rnp	1.0000984076744106	0.8858250224123214	1.1150587179425506
log-power-n1n2	34	Risky first	1	ips	rnp	2.1989782898873576	1.7277863552709962	3.416177565806833
log-power-n1n2	35	Risky first	1	ips	rnp	1.245077203028779	1.1035150056172573	1.4365918100816741
log-power-n1n2	36	Risky first	1	ips	rnp	1.0896741817641473	0.9885343172158768	1.241025907707716
log-power-n1n2	37	Risky first	1	ips	rnp	1.1612621713329145	1.0168866353843102	1.429727616554917
log-power-n1n2	45	Risky first	1	ips	rnp	1.9024824200604278	1.59104838529007	2.293495749569006
log-power-n1n2	46	Risky first	1	ips	rnp	1.126279427670766	0.9648922228765853	1.2839604751224312
log-power-n1n2	47	Risky first	1	ips	rnp	0.8892906431976972	0.7773664084913313	0.9838403514374299
log-power-n1n2	50	Risky first	1	ips	rnp	3.344199284004148	2.3884265704131904	8.22498509955745
log-power-n1n2	53	Risky first	1	ips	rnp	1.4069767859633302	1.1708235429472356	1.794236149751431
log-power-n1n2	56	Risky first	1	ips	rnp	1.0297684412180161	0.8772669822924489	1.20059809734046
log-power-n1n2	59	Risky first	1	ips	rnp	2.721939775393122	2.054450908050176	4.498584893912078
log-power-n1n2	62	Risky first	1	ips	rnp	0.7444429433012316	0.5800062105345375	0.8713638806546871
log-power-n1n2	63	Risky first	1	ips	rnp	1.3365284718200414	1.1320735765102412	1.7587384709444969
log-power-n1n2	67	Risky first	1	ips	rnp	1.4356166293663257	1.2775113359288903	1.6691578706930212
log-power-n1n2	69	Risky first	1	ips	rnp	0.8560369297034117	0.6918038524280133	0.9889281743423113
log-power-n1n2	72	Risky first	1	ips	rnp	1.1579207583064677	1.0204909084534843	1.3822497915425767
log-power-n1n2	74	Risky first	1	ips	rnp	1.834307950179674	1.5134129638466551	2.454557575289124
log-power-n1n2	1	Risky first	1	ips	logfrac_star	0.8095495487254463	0.7066955631862061	0.9362455193845722
log-power-n1n2	2	Risky first	1	ips	logfrac_star	0.7222457107631757	0.5507173846208494	0.9138439671873497
log-power-n1n2	3	Risky first	1	ips	logfrac_star	0.605721836965349	0.533395668060842	0.685491628352072
log-power-n1n2	4	Risky first	1	ips	logfrac_star	1.3334483098895096	1.0449557162722432	1.9275565819587253
log-power-n1n2	5	Risky first	1	ips	logfrac_star	0.5881825806628587	0.40284183981101174	0.7155144557906898
log-power-n1n2	6	Risky first	1	ips	logfrac_star	1.412498683726112	1.1523191735409706	1.8413431387581183
log-power-n1n2	7	Risky first	1	ips	logfrac_star	0.3369299215945708	0.060938921787396766	0.5198509699776718
log-power-n1n2	9	Risky first	1	ips	logfrac_star	2.043686678496629	1.575581141867006	3.21562608991163
log-power-n1n2	10	Risky first	1	ips	logfrac_star	0.5147572327717826	0.350900779221638	0.6454889338200329
log-power-n1n2	11	Risky first	1	ips	logfrac_star	0.467698435727377	0.3671754378596651	0.5544553113215258
log-power-n1n2	18	Risky first	1	ips	logfrac_star	0.18189775364964217	-0.007343036952103492	0.3136381150994772
log-power-n1n2	19	Risky first	1	ips	logfrac_star	1.9554124711516374	1.495931648530369	3.224037623128978
log-power-n1n2	21	Risky first	1	ips	logfrac_star	1.0031150092083698	0.75887104173893	1.3342017626658138
log-power-n1n2	25	Risky first	1	ips	logfrac_star	0.3302036271805161	0.20832326678755506	0.4358505108382917
log-power-n1n2	26	Risky first	1	ips	logfrac_star	0.397205303238819	0.26194561619051926	0.5298307291367673
log-power-n1n2	29	Risky first	1	ips	logfrac_star	1.1763844456752806	0.9716271646291588	1.4717480231517885
log-power-n1n2	30	Risky first	1	ips	logfrac_star	0.49614344310662073	0.2288684429199991	0.6887371059226995
log-power-n1n2	31	Risky first	1	ips	logfrac_star	0.5979354035881002	0.4766011611345638	0.7067440660523658
log-power-n1n2	34	Risky first	1	ips	logfrac_star	1.385829839515865	1.1446780264822516	1.8263592558760344
log-power-n1n2	35	Risky first	1	ips	logfrac_star	0.8170345392098813	0.6963375449383432	0.9601105104397605
log-power-n1n2	36	Risky first	1	ips	logfrac_star	0.6837157363653694	0.5863050802253804	0.8137753831997107
log-power-n1n2	37	Risky first	1	ips	logfrac_star	0.7473444930526104	0.6145826412372595	0.9553209480409336
log-power-n1n2	45	Risky first	1	ips	logfrac_star	1.2409965710235649	1.0622301612302212	1.427914182435706
log-power-n1n2	46	Risky first	1	ips	logfrac_star	0.716756659163575	0.5620981305522068	0.8477864226032757
log-power-n1n2	47	Risky first	1	ips	logfrac_star	0.48050583657503	0.3459935281438022	0.5815453611087682
log-power-n1n2	50	Risky first	1	ips	logfrac_star	1.805064288531561	1.4684718111596717	2.705013454904697
log-power-n1n2	53	Risky first	1	ips	logfrac_star	0.9392802797896884	0.7555443844672798	1.1824163882472443
log-power-n1n2	56	Risky first	1	ips	logfrac_star	0.6271709633708589	0.4668930929704114	0.7806568478282033
log-power-n1n2	59	Risky first	1	ips	logfrac_star	1.5991817794824175	1.3178456085046073	2.101599879499816
log-power-n1n2	62	Risky first	1	ips	logfrac_star	0.30271793249642664	0.05312052489882931	0.4601413848031467
log-power-n1n2	63	Risky first	1	ips	logfrac_star	0.8879125603947597	0.7218879753403123	1.1624337745863353
log-power-n1n2	67	Risky first	1	ips	logfrac_star	0.959431464479583	0.8427509173334811	1.1101562309515751
log-power-n1n2	69	Risky first	1	ips	logfrac_star	0.4423952391183693	0.2293841868775813	0.5867034261590481
log-power-n1n2	72	Risky first	1	ips	logfrac_star	0.7444629477007403	0.6181207950637752	0.9215494560778462
log-power-n1n2	74	Risky first	1	ips	logfrac_star	1.2045042722574382	1.0122043419132098	1.4957835317992256
log-power-n1n2	1	Risky first	1	vertex	slope	3.0583560420007956	1.9857073921823665	4.308413220763116
log-power-n1n2	2	Risky first	1	vertex	slope	1.979828505624466	1.0818473159547393	2.8742480529649095
log-power-n1n2	3	Risky first	1	vertex	slope	5.000430534043838	3.1742070831770075	7.453082147663335
log-power-n1n2	4	Risky first	1	vertex	slope	1.5312280807284395	0.4772904148358527	2.599042293004313
log-power-n1n2	5	Risky first	1	vertex	slope	1.9917649436727958	0.8171637639846863	3.3627501633188506
log-power-n1n2	6	Risky first	1	vertex	slope	1.494376524553294	0.688149584744172	2.327529850157154
log-power-n1n2	7	Risky first	1	vertex	slope	2.133518329034252	1.1899293424786668	3.1769385946431696
log-power-n1n2	9	Risky first	1	vertex	slope	0.9514359737906439	0.3351529664534155	1.8880828192921322
log-power-n1n2	10	Risky first	1	vertex	slope	1.8734704128729902	0.6104077517009415	3.5215695685130237
log-power-n1n2	11	Risky first	1	vertex	slope	2.7387397317830144	1.5026787365789933	4.036620614642822
log-power-n1n2	18	Risky first	1	vertex	slope	2.988861085900086	1.7956761134746486	4.279629132940167
log-power-n1n2	19	Risky first	1	vertex	slope	1.4978938503071264	0.300262002811242	2.5470120377792496
