curve	payoff	median	lo	hi	p_gt0
memory	25.16782724947516	0.006784209932194401	-0.06590552794143933	0.072579432024133	0.5805
memory	27.02219325873709	0.005766518005043969	-0.060703244153874666	0.06698992297166792	0.5755
memory	29.013188992218765	0.004546352281465783	-0.05704351142143509	0.06316095874903778	0.559
memory	31.15088133070163	0.003249127056157386	-0.05422170250205036	0.05981287695962952	0.5545
memory	33.44607888294205	0.002347650261621037	-0.052679429079740006	0.057482975730656076	0.539
memory	35.91038663620328	0.0017515567719261058	-0.05082148668323449	0.05419153410879243	0.5255
memory	38.55626463343955	0.0010931436170900548	-0.051387783249467134	0.05252175155350192	0.519
memory	41.39709097381619	0.0006924786559612324	-0.05262625651757653	0.05126838623920145	0.507
memory	44.44722945510958	-5.372406311204519e-05	-0.053958886010443706	0.05072358155534282	0.4975
memory	47.722102200000165	-0.0009005603577892057	-0.056017234199417114	0.05061080133437811	0.4915
memory	51.23826763347236	-0.001359343315926049	-0.058622339397113185	0.05160663578979803	0.482
memory	55.01350420559077	-0.002087003500215415	-0.05973407893762812	0.05368319861241387	0.469
memory	59.066900282972185	-0.0032455948331995047	-0.06463947025958847	0.056646911935382786	0.4605
memory	63.41895066346308	-0.004142599597434034	-0.06864516955248638	0.058151825618913806	0.449
memory	68.09166020202038	-0.005043036921891464	-0.0744204430173444	0.06119896450059149	0.443
memory	73.10865507174927	-0.005676665270714185	-0.07838181321155921	0.06296848787564784	0.4385
memory	78.49530222265635	-0.006387226723029003	-0.08261392032548583	0.06477729309499464	0.432
memory	84.27883764212612	-0.007351732213147796	-0.08804841105382501	0.06851219215054836	0.4235
memory	90.48850406563214	-0.008141346474552839	-0.09287296866005461	0.07204063533952706	0.4155
memory	97.15569883397542	-0.008768132825411296	-0.09786126541851112	0.0747414900808987	0.41
memory	104.31413264464813	-0.009215323534108085	-0.10174764378999787	0.07795820487090918	0.405
memory	112.0	-0.010198591418068698	-0.1063983577627865	0.0807722316615727	0.3985
perceptual	7.0	0.0003869618198471728	-0.05112535596480575	0.04150709808487267	0.5125
perceptual	7.515760138376831	0.004453459317366547	-0.03683327639661986	0.0393269948545351	0.603
perceptual	8.069521493944878	0.007341073286134503	-0.026418737101664817	0.03799702539415745	0.6785
perceptual	8.664083997137995	0.00892567959683823	-0.019963254341502895	0.03733343858166406	0.73
perceptual	9.302453877319765	0.010039158101429526	-0.01663706451611353	0.03816347188602227	0.763
perceptual	9.987858862892699	0.010507934623245448	-0.015203629000596417	0.038767499819615976	0.776
perceptual	10.723764501351813	0.010599483684796174	-0.014347077213226147	0.03884737740564396	0.7855
perceptual	11.513891681800072	0.010081339448849909	-0.014234298659137157	0.03753168313726382	0.792
perceptual	12.362235448523078	0.009525920048899402	-0.014080627026061172	0.03598406746234505	0.788
perceptual	13.2730852007484	0.00886798500840387	-0.01365984030614939	0.03413747820171414	0.783
perceptual	14.251046380723466	0.00842607670322612	-0.013078517078340282	0.03242327145584455	0.7765
perceptual	15.30106375977155	0.0076563931545904525	-0.012645135494560611	0.02991759599630753	0.7665
perceptual	16.42844644006477	0.006843261622979732	-0.01292453745529597	0.027885446337054844	0.753
perceptual	17.638894698528226	0.005804576539478625	-0.013030212938814791	0.025654064888500205	0.7365
perceptual	18.93852880860355	0.004893096469572991	-0.013301537490507668	0.024689284823612448	0.709
perceptual	20.33391998560055	0.003953004773634736	-0.01380191539472626	0.02330217138062788	0.676
perceptual	21.83212361210294	0.003061829374248994	-0.014834291691590425	0.021836528271464168	0.632
