subject	mask	selection	n_voxels	d_amp_mean	d_amp_median	d_amp_rel_mean	d_amp_rel_median	log_amp_ratio_median	d_baseline_median	d_baseline_mean	amp_vertex_median	pref_n_median	n_low	n_high	d_amp_low	d_amp_high	d_amp_rel_low	d_amp_rel_high	d_amp_lowminushigh	d_amp_rel_lowminushigh	d_amp_w7	d_amp_rel_w7	d_amp_w10	d_amp_rel_w10	d_amp_w14	d_amp_rel_w14	d_amp_w20	d_amp_rel_w20	d_amp_w28	d_amp_rel_w28	d_amp_wslope	d_amp_rel_wslope
56	NPC12r	top100	100	-0.6180967236435049	-0.26341016500000003	-0.593882712256251	-0.6081642230084847	-0.6280693282425795	0.0	0.0	0.67102503	8.4991985	91	9	-0.27928736		-0.6735173240688759				-0.3147380239293656	-0.5435062594703218	-0.409509857712606	-0.618570968518976	-0.223128426822087	-0.44510313790178513	-0.19036719442430894	-0.28336612997005506	-0.148740359263202	-0.0738167862266412	-0.1659976646661636	-0.4696894732436806
59	NPC12r	top100	100	0.31098103329885995	0.311927765	0.29751525882742913	0.15729709142718057	0.1576226288442654	0.0	0.0	0.9284913699999999	9.8681625	97	3	0.30586109000000006		0.15701873834738103				0.31301604284514073	0.277086653437259	0.311615785013517	0.2972803531142404	0.3198448369415713	0.3096471075111226	0.33477870506811597	0.3096233222787282	0.35023286993020597	0.297584266331196	-0.03721682708506524	-0.02049761289393698
62	NPC12r	top100	100	-0.19289315018135003	0.014210449999999986	-0.008168973423759223	0.009173916219697327	0.00917398682285886	0.0	0.0	0.7858638	6.573657799999999	89	11	-0.004598600000000008	0.1774555	-0.002249709980359438	0.18408638627446255	-0.1820541	-0.186336096254822	-0.011999884364878829	0.09200680317496018	0.017779995631745003	0.14125755505577117	0.048423779863887684	0.19088607600738172	0.06472089811971027	0.22130910519591734	0.06906467482156921	0.22536350537958785	-0.08106455918644803	-0.13335670220462767
63	NPC12r	top100	100	0.15803877270790598	0.11247977499999998	0.12185117096724263	0.15614278037285195	0.15646118373078988	0.0	0.0	0.61262993	6.1680352	98	2	0.11372178499999996		0.15727603499594772				0.08801893583166498	0.14992999155839185	0.07977011250247731	0.16549134033713203	0.06226094862139757	0.12724210060391714	0.020950960134258526	0.0371919457167602	-0.03726900243388575	-0.08091880918080663	0.12528793826555074	0.23084880073919847
67	NPC12r	top100	100	0.06451974378360599	0.007467649999999937	-0.019844272579872167	0.004704187260869822	0.004704196058585519	0.0	0.0	0.9261090999999999	18.8799	31	69	0.13599830000000002	0.0032091000000000758	0.1090807883671906	0.002081394923104827	0.13278919999999994	0.10699939344408577	-0.018209203678948273	-0.150472812825745	-0.01123773343691933	-0.19488739125923787	-0.038805348802995174	-0.25510230824214153	-0.039013875814529836	-0.2448696369613998	-0.02426947993194129	-0.18265847149759326	0.006060276252993019	0.03218565867184825
69	NPC12r	top100	100	-0.20473049750001795	-0.1985709999999999	-0.3015952491563364	-0.2901759307909631	-0.2922382475774126	0.0	0.0	0.6309039700000001	8.038239	97	3	-0.2028148		-0.29126028915087976				-0.20683896479195607	-0.3267161088662026	-0.1811011363509116	-0.27456300664560124	-0.16887841190978523	-0.19021870364887997	-0.24699239563331793	-0.29025870847758345	-0.26698377470753365	-0.2822202262518911	0.06014480991557758	-0.04449588261431153
72	NPC12r	top100	100	-0.038295030614215	-0.13963911	-0.09349615857456378	-0.31086266542218643	-0.31344401470113786	0.0	0.0	0.44923856500000003	9.226602	86	14	-0.152686665	-0.061883660000000035	-0.3349843198926348	-0.1789609747782786	-0.09080300499999996	-0.15602334511435617	-0.027932105200593863	-0.033293124218386275	-0.04122777778996758	-0.06313039733199774	-0.04652977126841429	-0.07505582695997687	0.013040876804033768	0.05067878892026433	0.06098886329899739	0.15442776380188403	-0.08892096849959125	-0.18772088802027032
74	NPC12r	top100	100	-0.12259665654592299	-0.0940454625	-0.1417079891351561	-0.19555186148966264	-0.19618052722452645	0.0	0.0	0.47946033	6.5844606500000005	89	11	-0.11212191999999999	0.07174797000000005	-0.3068527317663166	0.1570213793942617	-0.18386989000000004	-0.4638741111605783	-0.0669643426008736	-0.12872260318959639	-0.0717677609828056	-0.22384761067545084	-0.08391448894571008	-0.3236556937843783	-0.05167842775473875	-0.25541468075902973	-0.02557154237810057	-0.18059096033265656	-0.04139280022277303	0.05186835714306018
1	NPC12r	all	348	-0.28552906649402787	-0.14661030499999997	-0.1736584347581676	-0.24520011592895075	-0.2464398971356379	0.0	0.0	0.77912271	7.77280285	300	48	-0.19285707000000002	-0.004268887000000044	-0.27740559280194665	-0.017600229820210506	-0.18858818299999996	-0.2598053629817362	-0.24722009905016568	-0.16355080371890554	-0.040798744567448315	0.24639204667061362	0.07988444247767804	0.4032488260302365	0.06418805276500453	0.35167125042941105	0.051154779328878776	0.33741857437647327	-0.2983748783790445	-0.5009693780953788
2	NPC12r	all	147	-0.0417961655455381	-0.03457015200000001	-0.2941684880257232	-0.1602824004389298	-0.16062687275172438	0.0	0.0	0.25419515	9.182696	125	22	-0.03506186	-0.03254996600000001	-0.18101126715292398	-0.07452550498149829	-0.0025118939999999937	-0.10648576217142569	-0.04311521056295211	-0.3343799283938885	-0.07035152209613352	-0.468371316495361	-0.069798615428217	-0.5171975717822436	-0.07716269224241412	-0.5487592863697672	-0.08062554786079673	-0.5442255550949492	0.03751033729784462	0.20984562670106066
3	NPC12r	all	198	-0.02191570441990252	0.021592719999999954	-0.05165982611552025	0.028381117616206236	0.028383030656110586	0.0	0.0	0.6180955	15.5211665	72	126	0.010457415500000018	0.032177275000000005	0.023877458823978688	0.030438544657361344	-0.021719859499999987	-0.006561085833382656	0.007176828234435172	0.023237514629410722	-2.0848173205654752e-05	-0.017466173706966986	-0.0010786407799002712	-0.007399064789130935	0.008328795708216317	0.03260481603685365	0.007823881562891691	0.04152535460392095	-0.0006470533284565188	-0.018287839974510226
4	NPC12r	all	218	0.1613315153624624	0.05018555000000001	0.19826375070316515	0.059230339755954785	0.0592476680272046	0.0	0.0	0.45609105	9.243576000000001	191	27	0.060010200000000236	-0.0047855999999999455	0.09079828863041364	-0.0009863250451333867	0.06479580000000018	0.09178461367554704	0.057985282400268866	0.16926520991307237	0.05391685897915085	0.16114728158320088	0.011715765967131857	0.1300461505388754	-0.013798313326579555	0.09642168840088938	-0.03811043890067647	0.058515030637382955	0.09609572130094533	0.11075017927568942
