label	space	form	placement	channel	parameter	subject	sigma_ips	sigma_vertex
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	5	0.32306397816483373	0.3852696461135964
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	6	0.4583033607990443	0.6874061559691421
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	7	0.3177124763445134	0.3441417924143036
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	9	0.47174433315429637	0.6378796536593011
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	10	0.33419580742820754	0.3135490346052704
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	11	0.31386955190193844	0.32990092951690886
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	18	0.31418059976071333	0.325293064163041
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	19	0.39192789925678495	0.30753036841413167
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	21	0.30742313455360604	0.26999149527065347
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	25	0.31941546560253864	0.36043862009237776
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	26	0.29755242056970516	0.295212500818836
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	29	0.27486819415707087	0.36175889009196244
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	30	0.3085319550954313	0.5252251730372126
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	31	0.3065494621559498	0.3910595102325307
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	34	0.33836166223640524	0.2974945425174977
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	35	0.2952859219983506	0.20430011623972333
