which	subject	payoff	n
risky	30	68.0	8
risky	30	71.0	8
risky	30	82.0	8
risky	30	95.0	8
risky	31	11.0	7
risky	31	12.0	8
risky	31	13.0	8
risky	31	15.0	8
risky	31	16.0	16
risky	31	17.0	8
risky	31	18.0	8
risky	31	19.0	8
risky	31	21.0	8
risky	31	22.0	8
risky	31	24.0	16
risky	31	26.0	8
risky	31	27.0	8
risky	31	30.0	8
risky	31	32.0	8
risky	31	33.0	8
risky	31	35.0	8
risky	31	37.0	8
risky	31	39.0	8
risky	31	43.0	8
risky	31	45.0	8
risky	31	48.0	8
risky	31	49.0	8
risky	31	53.0	8
risky	31	55.0	8
risky	31	60.0	8
risky	31	67.0	8
risky	31	74.0	8
risky	34	12.0	8
risky	34	14.0	8
risky	34	16.0	8
risky	34	18.0	8
risky	34	19.0	8
risky	34	20.0	8
risky	34	22.0	8
risky	34	23.0	8
risky	34	25.0	16
risky	34	27.0	8
risky	34	29.0	8
risky	34	31.0	8
risky	34	33.0	8
risky	34	36.0	16
risky	34	38.0	8
risky	34	41.0	8
risky	34	44.0	8
risky	34	47.0	8
risky	34	50.0	16
risky	34	54.0	8
risky	34	58.0	8
risky	34	63.0	8
risky	34	66.0	8
risky	34	72.0	8
risky	34	76.0	8
risky	34	88.0	8
risky	34	101.0	8
risky	35	14.0	8
risky	35	15.0	7
risky	35	17.0	8
risky	35	19.0	8
risky	35	20.0	8
risky	35	21.0	8
risky	35	22.0	8
risky	35	23.0	8
risky	35	25.0	8
risky	35	27.0	8
risky	35	28.0	8
risky	35	30.0	8
risky	35	31.0	8
risky	35	33.0	8
risky	35	35.0	8
risky	35	38.0	8
risky	35	41.0	8
risky	35	42.0	8
risky	35	45.0	8
risky	35	47.0	8
risky	35	50.0	8
risky	35	55.0	8
risky	35	57.0	8
risky	35	61.0	8
risky	35	63.0	8
risky	35	67.0	8
risky	35	70.0	8
risky	35	77.0	8
risky	35	85.0	8
risky	35	94.0	8
risky	36	10.0	8
risky	36	11.0	8
risky	36	13.0	8
risky	36	14.0	8
risky	36	16.0	8
risky	36	17.0	8
risky	36	18.0	8
risky	36	19.0	8
risky	36	20.0	8
risky	36	21.0	8
risky	36	23.0	16
risky	36	26.0	8
risky	36	27.0	8
risky	36	29.0	8
risky	36	31.0	8
