roi	subject	model	win_prop	n_total	n_non_noise
NTO	35	m0	0.08080808080808081	642	198
NTO	35	m1	0.4494949494949495	642	198
NTO	35	m2	0.4696969696969697	642	198
NTO	36	m0	0.14432989690721648	436	97
NTO	36	m1	0.1958762886597938	436	97
NTO	36	m2	0.6597938144329897	436	97
NTO	37	m0	0.16374269005847952	568	171
NTO	37	m1	0.3391812865497076	568	171
NTO	37	m2	0.49707602339181284	568	171
NTO	45	m0	0.03832752613240418	553	287
NTO	45	m1	0.2229965156794425	553	287
NTO	45	m2	0.7386759581881533	553	287
NTO	46	m0	0.0859375	508	128
NTO	46	m1	0.3125	508	128
NTO	46	m2	0.6015625	508	128
NTO	47	m0	0.17333333333333334	461	75
NTO	47	m1	0.3333333333333333	461	75
NTO	47	m2	0.49333333333333335	461	75
NTO	50	m0	0.09174311926605505	557	109
NTO	50	m1	0.1834862385321101	557	109
NTO	50	m2	0.7247706422018348	557	109
NTO	53	m0	0.037209302325581395	510	215
NTO	53	m1	0.15348837209302327	510	215
NTO	53	m2	0.8093023255813954	510	215
NTO	56	m0	0.059574468085106386	736	235
NTO	56	m1	0.3021276595744681	736	235
NTO	56	m2	0.6382978723404256	736	235
NTO	59	m0	0.018779342723004695	508	213
NTO	59	m1	0.3427230046948357	508	213
NTO	59	m2	0.6384976525821596	508	213
NTO	62	m0	0.08173076923076923	656	208
NTO	62	m1	0.3605769230769231	656	208
NTO	62	m2	0.5576923076923077	656	208
NTO	63	m0	0.1610738255033557	564	149
NTO	63	m1	0.28859060402684567	564	149
NTO	63	m2	0.5503355704697986	564	149
NTO	67	m0	0.05434782608695652	442	92
NTO	67	m1	0.2717391304347826	442	92
NTO	67	m2	0.6739130434782609	442	92
NTO	69	m0	0.10505836575875487	512	257
NTO	69	m1	0.23346303501945526	512	257
NTO	69	m2	0.6614785992217899	512	257
NTO	72	m0	0.1787709497206704	536	179
NTO	72	m1	0.49162011173184356	536	179
NTO	72	m2	0.329608938547486	536	179
NTO	74	m0	0.20149253731343283	428	134
NTO	74	m1	0.27611940298507465	428	134
NTO	74	m2	0.5223880597014925	428	134
