order	n_safe	ratio	p_vertex	cause	leverage	effect	noise_vertex	noise_ips	ratio_vertex	ratio_ips
Risky first	28.0	1.2608695652173914	0.8971374011466005	1.0110107815952194	0.181697164317325	-0.010012983222673744	0.7650128442283227	0.7387270393449656	0.8570854610312029	0.8665226418510553
Risky first	7.0	1.391304347826087	0.7186706125392497	1.0213128002253158	0.36121331930909634	-0.050180449725413356	0.8300857774408206	0.8434165780210477	0.9109016917050812	0.9303155574852937
Risky first	7.913043478260869	1.391304347826087	0.7262225964890876	1.0181786366606826	0.34939767960655577	-0.04371384166004233	0.8450288259999353	0.8510709876034385	0.9092030945881971	0.9257311672954843
Risky first	8.826086956521738	1.391304347826087	0.7389583151856655	1.0160320249236423	0.3370213973546795	-0.03856171898022276	0.8537869231874395	0.8544235628831098	0.9052983300690357	0.9198120954600342
Risky first	9.73913043478261	1.391304347826087	0.7537694948393514	1.0144543392335381	0.32489709206052586	-0.03424953220945082	0.8579756215199938	0.8546325725372008	0.9006987166747779	0.9137177214728075
Risky first	10.652173913043478	1.391304347826087	0.7684245564695923	1.013162437728676	0.3133788883047945	-0.030342216007280154	0.8589166308632739	0.8525906617828414	0.8962934751825501	0.908090882236259
Risky first	11.565217391304348	1.391304347826087	0.7815992334206459	1.011992965452861	0.3027136947692922	-0.026584880116283127	0.8576049021404906	0.8489619575247437	0.8925251245683484	0.9032291475531071
Risky first	12.478260869565217	1.391304347826087	0.7926765689133379	1.0108640252325807	0.29308655995819655	-0.022882948546974147	0.8547617242837835	0.8442331310965322	0.8895594076962631	0.8992236035473548
Risky first	13.391304347826086	1.391304347826087	0.8015282460888178	1.0097459725782034	0.28459224492398283	-0.019243832815788897	0.8508952774447843	0.8387549770148924	0.8873988960105663	0.8960474613170133
Risky first	14.304347826086957	1.391304347826087	0.8083423586055583	1.0086443205014923	0.277217845245687	-0.01573078408122708	0.8463524359062374	0.8327749394868251	0.885948096960168	0.8936065162579788
Risky first	15.217391304347826	1.391304347826087	0.8135072152733395	1.007590734921661	0.27084385267559297	-0.012438848127447444	0.8413610802329649	0.8264627013343123	0.8850479019110149	0.8917660659273937
Risky first	16.130434782608695	1.391304347826087	0.8175403682479999	1.0066383478789405	0.2652532894499634	-0.009486621131004958	0.8360631247525208	0.8199300233251261	0.8844932430042056	0.8903648168478397
Risky first	17.043478260869563	1.391304347826087	0.8210460292164515	1.0058588840261498	0.26014195753735003	-0.007014346630320967	0.830539073630221	0.8132458079643708	0.8840428793756301	0.8892223840800354
Risky first	17.956521739130434	1.391304347826087	0.8245593701655805	1.005317230150799	0.25522240038515037	-0.00514248003383122	0.824837597627221	0.8064564515298122	0.8834863693660298	0.8881840697270428
Risky first	18.869565217391305	1.391304347826087	0.8282020235755874	1.0050098661136078	0.25047294360737876	-0.0038659951086900124	0.8190173421142165	0.7996158515888252	0.8828010791377292	0.8872237943491577
Risky first	19.782608695652172	1.391304347826087	0.8319613871510023	1.0049150642151938	0.24592661576707167	-0.0031390325892016735	0.8131260387786408	0.7927680314213932	0.882015134281092	0.8863502953048563
Risky first	20.695652173913043	1.391304347826087	0.8357808432362971	1.0050082268293907	0.24161366421951033	-0.002903219602990448	0.8071973627798454	0.7859446479144548	0.8811660347656813	0.8855791141421426
Risky first	21.608695652173914	1.391304347826087	0.8395708841775399	1.0052625023500195	0.23756534945000277	-0.003091294140079359	0.8012542168605553	0.7791676672403568	0.8802984220495379	0.884930994564292
Risky first	22.52173913043478	1.391304347826087	0.8432196441553367	1.0056492208101069	0.23381664463587198	-0.0036303177587647673	0.7953110437640339	0.7724513610001729	0.8794624218386872	0.8844306992538453
Risky first	23.434782608695652	1.391304347826087	0.8466019057634459	1.00613821492515	0.23040763075833895	-0.004444498251048867	0.7893754642461959	0.7658038079039909	0.8787124102225615	0.8841061358539043
Risky first	24.34782608695652	1.391304347826087	0.8496000479832523	1.0067003176260474	0.22737719091928565	-0.005462456830238049	0.7834513178940726	0.7592292576545129	0.8781000100429674	0.8839835590176907
