model	var	subject	mean	lo	hi	p_gt0
flexible1_noisefix	n1_evidence_sd_spline2	11	0.26565724991674167	-0.17732707396540812	0.7007766376043294	0.8863
flexible1_noisefix	n1_evidence_sd_spline2	18	0.13572720279978218	-0.34941781052981635	0.6094746147283464	0.72
flexible1_noisefix	n1_evidence_sd_spline2	19	0.033595039353265334	-0.4502253527145417	0.49184571243757796	0.5642
flexible1_noisefix	n1_evidence_sd_spline2	21	0.16374071677818255	-0.25700536233095433	0.5730212395869253	0.7896
flexible1_noisefix	n1_evidence_sd_spline2	25	0.3975386785883705	-0.06660714267214018	0.8671595163870396	0.95435
flexible1_noisefix	n1_evidence_sd_spline2	26	0.3414482088362157	-0.13047943733638057	0.8143400837595164	0.927
flexible1_noisefix	n1_evidence_sd_spline2	29	0.6919344508685142	0.2833127465103478	1.1306070969539628	0.9993
flexible1_noisefix	n1_evidence_sd_spline2	30	0.7410720238645956	0.32059969032186203	1.1950005779783555	0.9997
flexible1_noisefix	n1_evidence_sd_spline2	31	0.40728589466372034	-0.034590415990423826	0.8595342651962433	0.964
flexible1_noisefix	n1_evidence_sd_spline2	34	0.18404292756091614	-0.25847477218635834	0.6130738542551544	0.8014
flexible1_noisefix	n1_evidence_sd_spline2	35	0.019774393188919662	-0.5651769160007075	0.5330534469975344	0.5457
flexible1_noisefix	n1_evidence_sd_spline2	36	0.5141279949963745	0.07261274054125541	0.9717025278395368	0.98825
flexible1_noisefix	n1_evidence_sd_spline2	37	0.15767611404908996	-0.31206616066478926	0.6068427511260683	0.758
flexible1_noisefix	n1_evidence_sd_spline2	45	0.0627982652635123	-0.5234674687099731	0.6017400132992669	0.6003
flexible1_noisefix	n1_evidence_sd_spline2	46	0.35026389276799996	-0.08269115165937642	0.781718953917888	0.946
flexible1_noisefix	n1_evidence_sd_spline2	47	0.28956432050561337	-0.15181382219325026	0.7256574777734287	0.90445
flexible1_noisefix	n1_evidence_sd_spline2	50	0.4022263857405656	-0.07337077420256476	0.9207370526043781	0.9494
flexible1_noisefix	n1_evidence_sd_spline2	53	0.44372114549985053	-0.004973660382717159	0.9127536238738728	0.9735
flexible1_noisefix	n1_evidence_sd_spline2	56	0.2543603034655628	-0.22380742975802023	0.7377695415548374	0.85845
flexible1_noisefix	n1_evidence_sd_spline2	59	0.6821235988225066	0.19750259815571075	1.2034857372158299	0.9969
flexible1_noisefix	n1_evidence_sd_spline2	62	0.4091350849537028	0.006276275397401339	0.828829441102564	0.97655
flexible1_noisefix	n1_evidence_sd_spline2	63	0.4300140550241559	0.0018385428351954923	0.8725870366811241	0.97535
flexible1_noisefix	n1_evidence_sd_spline2	67	0.8617386713848322	0.44934508769715104	1.3115693283880019	1.0
flexible1_noisefix	n1_evidence_sd_spline2	69	0.04337951071723243	-0.40821599420266935	0.4735423583931429	0.58095
flexible1_noisefix	n1_evidence_sd_spline2	72	0.6291160814724611	0.18568889619740314	1.1088038867899868	0.9974
flexible1_noisefix	n1_evidence_sd_spline2	74	0.2842348865827539	-0.21536776676916047	0.7590295600343773	0.8804
flexible1_noisefix	n1_evidence_sd_spline3	1	0.31005054673947813	-0.4888152186543585	0.9680581591775751	0.8092
flexible1_noisefix	n1_evidence_sd_spline3	2	0.3434286040482764	-0.4615241859585344	1.0086144456185753	0.83035
