trace	ok	max_rhat	min_ess_bulk	divergences	chains	draws	n_par	worst_par	family	constrained	bauer_commit	size_gb
log-weber-n1n2.klw	True	1.01	519.0	33.0	4.0	3000.0	12.0	log_risky_prior_mu_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6011111168190837
log-weber-n1n2.mapjitter.klw	True	1.0	9083.0	8.0	8.0	3000.0	12.0	log_n1_weber_sd_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.201626742258668
log-weber-n2.klw	False	1.02	188.0	151.0	4.0	3000.0	12.0	log_risky_prior_mu_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5916424989700317
log-weber-null.klw	True	1.0	4370.0	49.0	4.0	3000.0	12.0	log_mem_weber_sd_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.4991532247513532
log-weber-nullind.klw	True	1.0	2638.0	41.0	4.0	3000.0	12.0	log_n1_weber_sd_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.4992760829627514
log-weber-nullind.mapjitter.klw	True	1.0	5350.0	7.0	8.0	3000.0	12.0	log_n1_weber_sd_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.998707801103592
log-weber-perc.klw	True	1.0	913.0	284.0	4.0	3000.0	12.0	log_mem_weber_sd_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5856373319402337
log-weber-percmem.klw	True	1.0	2388.0	84.0	4.0	3000.0	12.0	log_mem_weber_sd_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5997356493026018
log-cspl3-percpmu.mapjitter.klw	True	1.0	6519.0	35.0	8.0	9000.0	20.0	log_mem_cspl3_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	3.858366751112044
log-cspl5-percpmu.mapjitter.klw	True	1.0	9946.0	1.0	8.0	9000.0	28.0	log_mem_cspl5_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	4.079822555184364
log-cspl7-percpmu.mapjitter.klw	True	1.0	13089.0	0.0	8.0	9000.0	36.0	log_mem_cspl7_sd10_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	4.300802694633603
log-spl3-percpmu.mapjitter.klw	True	1.0	8698.0	5.0	8.0	9000.0	20.0	log_mem_spl3_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	3.858714889734983
log-spl4-percpmu.mapjitter.klw	True	1.0	10303.0	24.0	8.0	9000.0	24.0	log_mem_spl4_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	3.968380325473845
log-spl5-percpmu.mapjitter.klw	True	1.0	10162.0	4.0	8.0	9000.0	28.0	log_mem_spl5_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	4.0796402702108026
log-spl6-percpmu.mapjitter.klw	True	1.0	16199.0	1.0	8.0	9000.0	32.0	log_mem_spl6_sd10_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	4.190311650745571
log-spl7-percpmu.mapjitter.klw	True	1.0	15352.0	1.0	8.0	9000.0	36.0	log_mem_spl7_sd10_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	4.301071823574603
log-power+weber-null.mapjitter.klw	True	1.0	11001.0	1.0	8.0	9000.0	14.0	log_mem_weber_sd_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	3.029411173425615
log-power+weber-perc.mapjitter.klw	True	1.0	7842.0	1.0	8.0	9000.0	14.0	log_mem_weber_sd_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	3.637162245810032
log-power+weber-percmem.mapjitter.klw	True	1.0	7293.0	1.0	8.0	9000.0	14.0	log_mem_weber_sd_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	3.674298816360533
log-power+weber-percmempmu.mapjitter.klw	True	1.0	10898.0	2.0	8.0	9000.0	14.0	log_mem_weber_sd_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	3.7485053343698382
log-power+weber-percpmu.mapjitter.klw	True	1.0	10556.0	2.0	8.0	9000.0	14.0	log_mem_weber_sd_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	3.711327881552279
log-power-mem.mapjitter.klw	True	1.0	3778.0	0.0	8.0	3000.0	16.0	log_mem_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.225222415290773
log-power-null.klw	True	1.0	2422.0	64.0	4.0	3000.0	16.0	log_mem_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5116530423983932
log-power-perc.mapjitter.klw	True	1.0	5179.0	0.0	8.0	3000.0	16.0	log_mem_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2263157051056623
log-power-percmem.mapjitter.klw	True	1.0	4873.0	0.0	8.0	3000.0	16.0	log_mem_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2512472104281187
log-power-percmempmu.mapjitter.klw	True	1.0	11368.0	5.0	8.0	9000.0	16.0	log_mem_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	3.822296718135476
log-power-percpmu.mapjitter.klw	True	1.0	11016.0	4.0	8.0	9000.0	16.0	log_mem_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	3.747936636209488
log-power-spmu.mapjitter.klw	True	1.0	12851.0	3.0	8.0	9000.0	16.0	log_mem_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	3.673658352345228
log-power-n1n2.mapjitter.klw.objective	True	1.0	5903.0	0.0	8.0	3000.0	8.0	log_n1_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2019179807975888
log-power-percmem.mapjitter.klw.objective	True	1.0	9953.0	0.0	8.0	3000.0	8.0	log_mem_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2018338572233915
