subject	order	stake2	stimulation_condition	slope	rnp	n_trials
56	Risky first	0	vertex	3.7016475528134665	0.6212635132781364	32
56	Risky first	1	ips	3.3045778927371527	0.5240420771067864	28
56	Risky first	1	vertex	1.7652214494890053	0.49424813327895584	28
56	Risky second	0	ips	2.32610179565563	0.6868841052703506	31
56	Risky second	0	vertex	2.3037508915184075	0.577398722803676	32
56	Risky second	1	ips	3.6942301402193407	0.5187568841085348	28
56	Risky second	1	vertex	10.612925139567388	0.5520744618077712	28
59	Risky first	0	ips	2.8692117879410346	0.32641535900297863	32
59	Risky first	0	vertex	3.082126526213357	0.3813374712740595	32
59	Risky first	1	ips	4.570835505635192	0.25917425972251373	28
59	Risky first	1	vertex	2.452621970384526	0.23106816855907533	28
59	Risky second	0	ips	1.334583792627739	0.24493190758434097	31
59	Risky second	0	vertex	3.1988031301866418	0.4110376679773889	32
59	Risky second	1	ips	1.26967595932927	0.21151287171898556	28
59	Risky second	1	vertex	1.3496942920495578	0.11582611130733719	28
62	Risky first	0	ips	12.717716813971101	0.6875273929400596	30
62	Risky first	0	vertex	6.620929262049568	0.6133483328614077	27
62	Risky first	1	ips	16.102285100148542	0.600300150158448	30
62	Risky first	1	vertex	4.364890453851075	0.6729129356717192	26
62	Risky second	0	vertex	2.8891437274977863	0.6521487488092874	30
62	Risky second	1	ips	1.4108920473731388	1.2016461160222847	30
62	Risky second	1	vertex	3.664824270095843	0.5974320262251919	30
63	Risky first	0	ips	2.9833844972758268	0.5787278642741153	29
63	Risky first	0	vertex	4.144734769733935	0.5863967686506396	31
63	Risky first	1	ips	2.8775186144082827	0.37540430841650874	26
63	Risky first	1	vertex	11.194918197941163	0.45076564932075686	28
63	Risky second	0	ips	3.2718982981010107	0.6009799481012965	30
63	Risky second	0	vertex	5.525894695219947	0.5211708491680869	32
63	Risky second	1	ips	1.3627494533117313	0.7072876158722841	27
63	Risky second	1	vertex	0.8616484325985854	0.5860438334432521	28
67	Risky first	0	ips	2.191136227691806	0.6090974378936791	30
67	Risky first	0	vertex	1.6936716546169364	0.517132999687403	30
67	Risky first	1	ips	2.0202121294380624	0.46631327338144174	29
67	Risky first	1	vertex	1.9391968240586002	0.20051065583447683	30
67	Risky second	0	ips	3.653312292348587	0.4359778452682032	30
67	Risky second	0	vertex	6.013892921300062	0.36146611541680834	30
67	Risky second	1	ips	1.7149542486207145	0.43970385479799173	30
67	Risky second	1	vertex	1.290272616960994	0.17662036251200425	30
69	Risky first	0	vertex	2.2634417237464883	0.8838320007152891	30
69	Risky first	1	ips	1.7583804728173626	0.628863031465288	30
69	Risky first	1	vertex	2.334691159229651	0.6350296978741691	30
69	Risky second	0	ips	3.890474548705038	0.5896168711890506	30
69	Risky second	0	vertex	1.94661460271219	0.46493165593079666	30
69	Risky second	1	ips	1.5855491380443536	0.8169874907990745	30
69	Risky second	1	vertex	3.3877348008403403	0.7995036629409877	30
72	Risky first	0	ips	3.724450044612645	0.6051513828042645	32
72	Risky first	0	vertex	9.754746456864792	0.517077617633819	31
72	Risky first	1	ips	5.258221885524918	0.5350477779052673	28
72	Risky first	1	vertex	5.301245600452825	0.44979654868273294	28
72	Risky second	0	ips	2.667754290915389	0.5621295311414766	32
72	Risky second	0	vertex	7.637453964364456	0.5901713956645244	32
72	Risky second	1	ips	4.047742130657549	0.6195456015421368	28
72	Risky second	1	vertex	2.9212541436677113	0.5039066321986311	28
74	Risky first	0	ips	3.616912645603256	0.48837900240166043	30
74	Risky first	0	vertex	1.2533834413311358	0.2990227493622247	30
74	Risky first	1	ips	4.3607021913398185	0.3172619599704281	30
74	Risky first	1	vertex	0.9225092546371105	0.2751336123234011	30
74	Risky second	0	ips	1.797794803252782	0.29044268736700213	30
74	Risky second	1	ips	1.4820461483384655	0.24825134001803503	30
74	Risky second	1	vertex	2.5232785541004117	0.30893216501632464	30
